TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT
N859AA,200,28.8,4311.58
N3HTAA,85,22.7,2348.49
N419AS,21,16.1,3330.81
N459AS,85,22.7,2123.38
N705AS,524,37.5,10290.74
N703AS,368,33.6,7018.76
N565AS,368,32.0,7794.36
N579AS,85,22.2,2409.6
N614AS,85,23.5,2155.98
N529AS,524,36.2,9789.34
N320AS,85,22.8,2179.13
N536AS,524,35.7,10225.94
N403AS,524,39.1,9171.74
N566AS,200,30.1,4094.34
N558AS,200,31.5,3982.77
N531AS,200,30.7,4185.52
N806JB,85,22.5,2388.68
N373JB,85,21.7,2390.77
N638JB,85,22.0,2116.84
N804JB,85,22.6,2165.82
N651JB,524,39.1,9749.74
N561JB,524,37.0,9249.33
N339JB,21,16.0,3631.24
N296JB,85,22.6,2392.53
N594JB,85,23.3,2359.21
N381DN,85,23.0,2105.76
N194DN,85,23.0,2161.56
N667DN,85,23.2,2295.53
N938DN,524,38.1,10397.1
N987DL,85,22.6,2194.69
N906DE,85,21.5,2111.43
N357NW,85,22.4,2219.76
N3766,368,32.7,7348.42
N589NW,85,21.2,2128.06
N4YRAA,85,22.3,2349.17
N934DN,85,22.4,2154.58
N326US,200,30.0,4387.54
N913DE,200,28.5,4330.75
N329NW,524,38.3,9685.5
N938DL,85,22.9,2371.24
N911DE,524,36.7,9193.85
N399DA,524,36.7,9901.5
N353NW,85,21.7,2295.26
N283JB,85,22.8,2393.66
N704X,368,32.6,7061.48
N958AT,200,31.0,3991.63
N812DN,524,38.5,10094.11
N3757D,85,21.6,2140.3
N6704Z,200,29.8,4409.58
N534US,524,36.1,10342.34
N3APAA,200,30.1,4478.87
N14950,368,30.6,7039.23
N14974,85,21.2,2256.81
N878AS,524,39.4,10420.53
N710EV,368,31.1,7066.88
N724EV,85,22.7,2379.29
N834AS,85,21.5,2107.03
N201FR,5,0.25,458.19
N208FR,85,21.3,2183.07
N908FR,85,23.3,2333.83
N928FR,200,28.5,4124.99
N645MQ,524,35.8,9326.1
N611MQ,85,23.3,2150.55
N802MQ,85,21.4,2393.12
N686MQ,21,16.8,3252.12
N620NK,200,30.4,4258.36
N532NK,524,36.6,9269.11
N521NK,85,21.7,2339.34
N502NK,21,16.3,3511.87
N621NK,85,23.1,2251.76
N608NK,524,36.9,9452.32
N758SK,85,21.9,2358.46
N915SW,85,21.8,2105.6
N218AG,21,15.4,3460.14
N812SK,85,22.2,2158.77
N576SW,21,15.4,3477.67
N566SW,85,22.7,2240.43
N124SY,85,23.3,2324.53
N659BR,200,30.8,3995.89
N479CA,368,30.6,7368.86
N470UA,368,31.5,7624.72
N402UA,85,22.0,2156.49
N38417,524,37.9,10424.28
N14228,85,23.1,2266.86
N012AA,524,38.7,9274.3
N14570,85,21.2,2140.92
N48901,200,31.1,4542.87
N549UA,85,21.6,2268.0
N842VA,85,23.1,2152.04
N217JC,200,31.2,4412.85
N625SW,85,22.6,2322.68
N346SW,200,29.9,4256.49
N253WN,200,31.1,4383.17
N684WN,85,23.0,2138.81
N340LV,368,32.1,7910.37
N8317M,524,39.1,9324.5
N8302F,85,22.7,2201.37
N737JW,200,29.2,4285.25
N291WN,200,30.5,4021.66
N905WN,5,0.27,491.65
N554WN,85,23.3,2235.49
N17730,21,15.8,3353.09
N187US,200,30.7,4416.97
N749US,85,21.4,2228.45
N751UW,200,28.3,4221.35
N5BTAA,524,35.9,9256.28
N3GTAA,21,15.1,3527.37
N568AA,85,23.0,2117.77
N4YUAA,200,30.6,4231.41
N7BKAA,21,16.8,3379.26
N5ETAA,368,32.7,7092.65
N3JHAA,5,0.26,500.75
N4YCAA,524,38.9,9682.49
N575AA,524,37.4,9904.11
N796JB,85,22.3,2413.83
N644JB,85,22.4,2334.16
N309JB,85,22.4,2331.36
N952DN,85,21.1,2386.25
N940DL,21,16.6,3431.94
N376DA,200,30.8,4256.45
N550NW,368,33.0,7691.21
N3738B,21,16.8,3327.75
N933DN,85,21.5,2378.91
N906DL,21,16.1,3183.23
N986AT,368,33.1,7397.46
N880AS,85,21.6,2389.89
N697MQ,85,22.4,2374.12
N696MQ,368,31.8,6953.57
N862AS,85,22.8,2409.55
N466SW,85,21.3,2219.71
N790SK,21,16.1,3546.2
N304JB,524,37.9,9943.07
N13964,524,39.2,9656.33
N73270,85,22.4,2261.86
N772UA,524,37.7,9332.6
N547UA,368,31.9,7721.87
N709UW,85,23.4,2353.6
N720WN,85,22.7,2200.44
N691WN,200,28.5,4159.86
N8654B,200,30.6,4310.14
N8632A,85,21.3,2313.55
N738CB,85,22.9,2170.17
N714CB,85,21.2,2103.15
N787SA,85,21.2,2305.34
N67815,200,30.3,4032.12
N836AW,85,21.1,2337.52
N539UW,85,21.7,2227.32
N3DUAA,200,29.8,4445.9
N508AA,200,29.3,4346.21
N4YTAA,200,30.0,4521.29
N508AS,85,22.1,2242.69
N371NW,200,29.4,4303.89
N955DN,524,36.3,9938.18
N917DE,85,21.8,2408.13
N507JB,21,15.3,3295.42
N965DN,368,33.2,7215.41
N13992,200,28.9,4084.22
N954FR,85,23.1,2118.53
N617MQ,85,23.1,2220.05
N665MQ,85,23.2,2169.81
N507NK,85,23.5,2125.36
N766SK,5,0.25,467.6
N347NB,524,38.6,10326.84
N15985,200,29.2,4429.78
N562JB,200,29.4,4367.67
N631AA,368,32.8,7367.64
N3739P,85,22.9,2112.67
N913JB,85,22.7,2175.6
N472UA,85,21.5,2350.28
N818UA,85,21.3,2189.43
N183UW,85,21.1,2312.21
N107US,85,21.2,2413.85
N452UA,200,30.9,4207.77
N455UA,524,39.1,10203.48
N485WN,21,15.7,3323.66
N295WN,85,22.0,2320.05
N940WN,85,21.2,2140.29
N8626B,85,22.0,2267.57
N483WN,85,22.8,2329.18
N624SW,85,23.2,2139.29
N7703A,85,22.1,2223.4
N735SA,524,35.7,10393.29
N743SW,200,28.6,4242.2
N202WN,200,30.3,4452.63
N38459,200,30.9,4277.77
N73278,200,28.2,4238.66
N850AA,85,22.2,2387.35
N359AA,85,21.6,2175.91
N3HLAA,200,29.5,4139.69
N595AA,85,23.1,2386.63
N3FJAA,85,22.1,2265.57
N3JFAA,524,39.4,9323.08
N3GDAA,200,29.1,4222.99
N471AA,21,15.2,3203.76
N481AA,21,15.9,3555.48
N3JWAA,85,21.4,2320.5
N708AS,200,28.6,3971.55
N521JB,85,23.5,2295.96
N267JB,85,21.2,2316.42
N563JB,368,30.6,7364.66
N911DL,85,21.1,2218.52
N950DL,368,33.8,7367.92
N3767,85,23.1,2277.4
N3758Y,85,22.1,2134.93
N617DL,524,36.1,9827.0
N943DN,524,37.6,9760.37
N664DN,200,29.3,4106.75
N368NW,368,33.0,7581.6
N26549,85,22.4,2147.33
N11548,200,30.2,4150.47
N707EV,85,22.4,2133.73
N210FR,85,21.6,2227.52
N925FR,21,16.4,3176.49
N521MQ,85,23.0,2108.84
N656MQ,85,21.4,2251.81
N631NK,85,23.4,2300.67
N869AS,85,22.7,2375.06
N429SW,200,30.2,4021.41
N919SW,85,22.2,2294.75
N709SK,85,22.1,2307.69
N474UA,200,29.3,4109.68
N593JB,200,30.3,3978.04
N353NB,524,36.6,10464.93
N14972,85,22.6,2167.14
N811UA,368,30.5,7774.97
N905JB,85,23.0,2346.68
N12540,524,35.4,10495.45
N614NK,85,22.8,2359.84
N845UA,85,23.0,2122.41
N488UA,85,22.3,2340.17
N516UA,524,35.8,9748.62
N477WN,85,21.9,2114.99
N749SW,524,38.3,10340.8
N488WN,524,39.3,9302.85
N900WN,368,32.9,7747.47
N716SW,85,23.3,2357.77
N610WN,85,22.8,2388.8
N917WN,524,35.3,9300.49
N703SW,21,15.4,3311.73
N27908,368,33.1,7883.83
N652AW,524,36.0,10416.68
N784AA,21,16.7,3489.05
N4YJAA,524,37.4,10143.12
N4UBAA,85,22.9,2276.05
N020AA,85,21.8,2335.72
N3JBAA,85,21.5,2263.98
N397AA,85,21.7,2154.34
N3HDAA,85,21.9,2213.77
N5DGAA,200,29.6,4233.48
N788AS,85,22.8,2122.09
N315AS,200,28.7,4079.88
N557AS,368,33.2,7077.52
N516AS,85,21.8,2406.9
N520JB,200,29.1,4298.47
N927DA,368,32.1,7810.45
N334NB,85,22.6,2246.47
N696DL,200,29.9,4236.82
N989DL,85,22.2,2285.24
N387DA,524,38.5,9729.23
N761ND,368,32.4,7686.64
N730EV,85,21.4,2291.09
N21154,21,15.5,3178.78
N652MQ,85,22.1,2411.1
N508MQ,85,22.1,2408.29
N685MQ,85,21.1,2168.21
N668MQ,200,29.8,4288.11
N748SK,200,30.3,4517.83
N14148,200,28.9,4337.59
N11187,85,21.7,2323.6
N475HA,524,36.9,9642.52
N827UA,85,23.1,2126.81
N796AS,85,23.1,2189.24
N57869,524,38.0,9834.41
N67052,368,34.1,6913.64
N835UA,21,15.5,3538.85
N421UA,85,21.4,2110.03
N465UA,524,39.4,10081.08
N523UW,85,22.3,2398.66
N8329B,85,21.2,2321.22
N407WN,524,38.5,9687.97
N920WN,5,0.26,458.15
N222WN,85,22.4,2108.46
N401WN,85,21.1,2107.38
N210WN,5,0.25,508.02
N243WN,200,31.5,4092.81
N33264,21,15.5,3393.04
N807AW,85,22.1,2290.57
N819AW,200,29.2,4316.36
N3CSAA,524,35.2,10072.4
N4YMAA,85,21.7,2241.19
N564AA,524,38.0,9732.18
N3LMAA,200,29.8,4164.93
N4UCAA,21,16.5,3318.56
N484AA,21,15.8,3305.04
N319AS,200,30.9,4378.79
N525AS,85,21.6,2280.85
N409AS,524,37.9,9509.64
N558JB,524,39.2,10005.61
N335NB,368,30.7,7353.93
N314NB,85,23.1,2362.07
N926DL,85,22.0,2197.08
N903EV,524,35.7,9530.78
N922FR,524,39.0,10209.68
N655MQ,200,29.3,4384.4
N624MQ,5,0.27,473.67
N611NK,21,15.6,3572.39
N527NK,85,21.6,2135.53
N477CA,85,21.3,2205.52
N187PQ,368,33.7,7857.53
N986SW,85,21.5,2395.34
N75435,524,35.2,9199.09
N37253,368,31.1,7595.79
N69830,85,22.7,2191.35
N14514,85,22.2,2316.69
N12136,524,39.3,9620.7
N639JB,85,21.3,2324.54
N741EV,21,15.8,3636.99
N14106,368,33.6,7736.33
N12216,85,21.2,2282.03
N18223,85,22.4,2129.16
N585JB,200,28.8,4506.73
N505JB,85,23.3,2410.44
N548CA,21,15.2,3435.74
N200UU,524,37.1,9555.02
N119US,524,38.4,9346.33
N913US,524,36.6,9759.54
N621VA,200,31.0,4495.36
N419WN,85,21.5,2130.7
N956WN,85,22.4,2101.1
N922WN,85,21.5,2182.75
N33103,85,21.8,2131.11
N66803,85,22.2,2339.41
N808AW,85,22.6,2261.07
N575UW,85,22.3,2166.19
N3DEAA,85,22.2,2183.48
N3HPAA,85,22.8,2130.08
N3AXAA,85,22.1,2267.44
N3BHAA,368,31.4,7803.88
N472AA,85,21.7,2157.16
N4YSAA,85,22.6,2330.68
N3AEAA,85,22.4,2314.55
N3KBAA,200,30.4,4527.99
N854AA,85,21.6,2401.28
N649JB,200,28.5,4550.88
N706JB,85,21.2,2294.37
N568JB,524,36.0,10181.91
N807JB,85,22.5,2187.79
N343NB,21,15.4,3260.8
N341NB,368,32.1,7305.78
N144DA,368,32.2,7087.29
N993DL,524,36.1,9245.38
N828DN,368,32.9,7135.33
N960DN,85,22.9,2306.27
N983DL,85,23.1,2276.85
N358NB,21,15.3,3180.85
N367NW,524,38.9,9626.49
N905DL,21,16.0,3408.81
N333NW,85,23.3,2351.29
N329JB,85,23.3,2391.99
N14562,85,21.7,2219.12
N14203,368,32.9,7458.38
N916EV,524,37.3,10095.1
N16151,524,39.2,9375.66
N227FR,200,31.4,4040.47
N906MQ,368,31.0,7638.52
N604MQ,524,37.0,10211.13
N603MQ,200,30.5,4252.37
N523MQ,200,28.2,4438.89
N847MQ,368,31.2,7763.2
N642MQ,85,21.5,2221.21
N849MQ,524,37.8,9427.93
N641MQ,85,22.4,2400.17
N506NK,85,23.3,2313.01
N519NK,85,22.8,2261.45
N617NK,85,22.6,2320.89
N863AS,85,21.0,2313.55
N454SW,85,21.5,2227.24
N816SK,85,22.3,2233.17
N110SY,200,30.9,4081.3
N119SY,85,23.4,2129.69
N774SK,200,30.3,4002.65
N449SW,85,21.9,2379.68
N635JB,524,35.6,10315.47
N972DL,368,31.6,7782.44
N618NK,85,22.9,2229.27
N121SY,21,16.7,3224.78
N64809,5,0.27,492.74
N68821,85,23.3,2337.97
N69829,85,21.1,2291.43
N807UA,368,33.8,7023.33
N821UA,5,0.25,507.97
N151UW,85,21.4,2280.25
N824AW,524,39.0,9253.18
N829AW,85,22.8,2299.54
N557UW,85,22.3,2170.33
N66828,200,30.2,4519.92
N8634A,85,22.3,2352.93
N508SW,21,15.6,3423.07
N420WN,85,21.5,2203.48
N8319F,524,38.9,10105.15
N207WN,368,34.0,7272.8
N952WN,524,38.3,9920.83
N955WN,200,30.4,4088.47
N649SW,524,39.3,10371.94
N641SW,200,28.6,4012.61
N440LV,524,35.9,10261.08
N908WN,21,16.7,3522.28
N57870,524,39.3,9468.0
N4XBAA,85,22.5,2253.39
N3CBAA,200,29.9,4249.08
N3GCAA,85,22.9,2252.58
N3BPAA,85,22.8,2230.95
N565AA,368,32.3,7645.77
N713AS,200,30.3,4116.29
N799AS,5,0.26,459.76
N198JB,21,15.3,3395.02
N697DL,85,21.9,2165.03
N722TW,368,31.2,7179.43
N3BNAA,368,34.1,7274.85
N552NW,200,31.5,4405.45
N12166,85,21.4,2365.57
N1EAMQ,368,33.5,7278.23
N868CA,368,32.7,7092.66
N78438,21,15.9,3325.03
N197JB,85,21.5,2310.94
N14173,200,31.4,3985.34
N23721,368,32.4,7451.44
N7708E,85,21.4,2254.9
N967WN,85,21.1,2280.65
N8323C,368,31.8,7380.29
N771SA,368,32.3,7606.89
N252WN,85,21.1,2251.42
N206WN,368,32.6,7577.67
N8607M,85,22.4,2188.29
N786SW,368,32.4,7703.33
N627SW,524,38.9,10208.36
N245WN,85,23.0,2306.83
N475WN,21,16.2,3381.01
N823AW,524,35.9,9220.78
N482AA,368,33.0,7080.82
N434AA,85,21.8,2321.07
N501AA,368,32.2,7628.58
N3DFAA,200,28.3,4309.99
N4WNAA,85,22.3,2158.67
N005AA,85,22.0,2365.95
N537JB,21,15.5,3408.48
N914DN,368,30.6,7886.99
N803DN,524,38.1,9747.46
N824DN,524,36.5,9851.45
N810DN,200,31.5,4185.12
N586JB,85,23.2,2377.68
N938FR,85,21.9,2198.55
N520MQ,21,16.4,3330.23
N527MQ,85,22.7,2139.44
N503MQ,200,30.2,4135.5
N866AS,200,28.8,4549.69
N529NK,85,23.1,2273.2
N786SK,200,31.4,4237.19
N69834,85,22.7,2321.63
N69819,524,35.3,10445.92
N837UA,85,21.1,2150.23
N3FLAA,200,30.6,4443.98
N14188,368,33.5,7509.89
N713SK,368,33.8,7442.15
N445UA,85,21.7,2150.9
N39450,85,23.4,2300.48
N37252,85,22.6,2369.5
N537UA,85,22.6,2393.65
N724UW,85,22.3,2267.45
N801AW,85,22.7,2188.45
N810AW,85,21.2,2181.58
N554UW,200,28.4,4416.32
N514UA,200,31.0,4347.41
N483UA,85,21.1,2215.94
N7813P,85,23.3,2190.35
N7815L,368,31.1,7516.82
N426WN,85,21.0,2173.02
N203WN,21,16.5,3187.84
N212WN,21,16.6,3214.7
N7751A,85,21.6,2383.18
N925WN,524,35.5,10125.81
N761RR,5,0.25,489.4
N8613K,200,29.9,4357.23
N747SA,85,22.4,2309.69
N931WN,85,22.8,2115.52
N26215,85,21.5,2142.99
N817AW,368,31.5,7542.3
N3BJAA,524,36.0,10200.55
N3LTAA,200,29.6,4361.41
N3ESAA,85,22.9,2260.99
N644AS,85,22.5,2295.33
N238JB,85,22.5,2157.78
N615JB,85,22.7,2181.89
N915DE,524,36.1,9388.47
N3773D,200,28.4,4146.05
N368NB,200,30.3,4366.23
N67171,85,21.2,2291.08
N924DL,200,29.0,4236.44
N912DL,85,21.6,2120.63
N957AT,368,31.3,7481.06
N901DA,85,21.0,2179.16
N929AT,200,31.4,4180.61
N370NW,524,35.9,10329.77
N661DN,85,22.5,2139.12
N16919,200,30.4,4299.72
N748EV,200,31.5,4483.79
N15983,200,30.3,4382.96
N15574,368,32.7,7887.74
N13969,85,23.5,2271.59
N943FR,85,22.9,2250.9
N122SY,85,23.0,2129.82
N712SK,85,23.4,2330.3
N730SK,368,30.6,7137.09
N701SK,85,23.4,2168.81
N266JB,85,22.8,2302.97
N16571,368,32.3,7060.52
N36444,85,23.5,2285.17
N346JB,21,16.7,3343.48
N299SW,200,28.3,4054.01
N702SK,21,15.9,3594.21
N525VA,524,35.9,9446.72
N435WN,524,36.8,10538.67
N364SW,85,22.2,2137.38
N762SW,85,21.4,2215.72
N284WN,85,22.6,2291.41
N239WN,85,22.3,2406.49
N76254,524,38.5,10509.33
N66831,21,15.3,3446.38
N76269,524,37.3,9935.87
N68823,85,22.4,2158.59
N3FAAA,21,15.3,3571.4
N555AA,368,32.2,7026.55
N3HKAA,85,22.2,2284.66
N4XSAA,85,21.0,2165.61
N5DMAA,85,21.1,2304.82
N3EUAA,524,38.0,9361.7
N433AS,524,39.2,9468.97
N552AS,85,21.5,2152.04
N797AS,85,21.5,2363.44
N957DL,85,21.7,2391.63
N16918,85,22.9,2299.6
N14953,85,22.2,2117.14
N592HA,85,22.3,2220.39
N638MQ,200,29.3,4114.79
N628NK,200,30.9,4469.21
N625NK,85,22.5,2147.45
N630SK,200,29.5,4308.6
N781CA,21,16.8,3311.71
N452SW,524,38.9,10530.03
N782SK,200,29.9,4273.49
N906SW,85,22.4,2102.23
N58101,368,33.8,7151.92
N13161,85,21.1,2186.28
N47414,85,23.0,2363.52
N33262,85,22.0,2124.16
N278WN,85,21.5,2152.07
N772SW,85,22.0,2329.03
N493WN,85,23.3,2145.54
N273WN,200,30.2,4532.39
N936WN,200,28.5,4041.04
N7727A,85,22.9,2276.22
N230WN,21,15.6,3555.19
N8637A,85,22.4,2222.69
N292WN,85,22.2,2147.1
N12218,85,21.9,2414.42
N76508,524,35.2,9897.54
N371AA,85,22.5,2405.66
N3ANAA,21,16.9,3550.25
N3CLAA,85,23.1,2317.78
N612JB,85,23.4,2229.2
N179JB,85,23.2,2361.78
N378DA,85,22.4,2125.35
N362NW,200,30.2,4368.75
N3750D,85,21.0,2333.93
N12924,85,22.1,2204.47
N691MQ,85,21.0,2169.44
N465SW,85,23.2,2100.47
N13538,200,30.5,4286.65
N752SK,85,21.4,2295.02
N804UA,85,21.2,2250.64
N76526,368,30.7,7553.9
N328JB,85,22.5,2239.17
N827AS,21,15.3,3243.87
N565SW,524,37.1,9286.22
N469UA,368,33.4,6988.7
N491UA,85,23.2,2121.87
N825UA,85,21.6,2372.43
N14916,200,31.0,4267.23
N103SY,524,37.5,9485.65
N567UW,524,36.6,9478.55
N21723,85,23.2,2198.33
N3KTAA,21,16.2,3230.72
N961AT,21,16.4,3629.41
N965DL,368,30.8,7243.39
N549CA,200,29.3,4294.39
N477UA,200,28.3,3973.5
N451UA,368,31.9,7657.47
N466UA,85,22.1,2412.62
N756US,85,23.0,2377.16
N703UW,85,22.9,2122.26
N534UW,200,28.2,4278.42
N953UW,85,22.9,2284.62
N844UA,524,36.7,9512.09
N475UA,5,0.24,452.35
N430UA,21,15.2,3624.94
N855VA,5,0.27,494.62
N624VA,85,22.3,2385.87
N838VA,368,30.8,7816.33
N837VA,85,22.1,2163.96
N843VA,85,22.5,2358.95
N629VA,200,31.5,4086.45
N8609A,524,39.2,10017.61
N759GS,85,21.3,2200.12
N618WN,85,22.9,2323.34
N410WN,200,29.2,4236.47
N907WN,85,21.6,2223.57
N242WN,200,29.3,4369.14
N434WN,85,21.9,2308.23
N750SA,524,37.6,9350.88
N345SA,85,23.2,2108.64
N470WN,200,29.6,3996.33
N271LV,85,22.5,2207.62
N490WN,200,28.5,4216.11
N7734H,85,22.3,2221.76
N19117,368,31.2,7772.5
N37468,85,23.2,2403.61
N87512,200,30.1,4532.21
N57863,85,23.5,2370.42
N37427,368,32.6,7286.61
N24729,85,22.3,2193.51
N27722,85,22.0,2248.62
N722US,85,22.7,2366.47
N741UW,524,36.6,9621.81
N809AW,524,37.8,9619.14
N783AA,200,28.6,4181.19
N3FHAA,200,29.8,4408.98
N5BVAA,85,23.3,2140.17
N581AA,200,30.5,4406.75
N5FSAA,85,23.1,2307.01
N3FEAA,85,23.4,2199.77
N3HVAA,368,32.6,7321.16
N003AA,200,28.8,4462.4
N3LFAA,5,0.26,465.7
N004AA,524,38.3,10079.39
N633AA,368,31.5,7107.42
N5CAAA,85,23.1,2391.27
N5DEAA,524,39.0,9597.06
N357AA,368,30.7,7451.65
N523AS,368,32.1,7480.83
N305AS,524,38.9,10030.28
N786AS,368,32.0,6961.29
N794AS,85,23.4,2105.92
N625AS,85,21.1,2248.15
N619AS,85,23.3,2118.46
N756AS,200,30.4,4072.61
N461AS,524,35.4,9414.69
N520AS,85,21.4,2106.33
N591JB,85,22.1,2275.4
N793JB,21,16.7,3450.4
N637JB,85,23.0,2321.72
N178JB,85,21.8,2269.06
N629JB,524,35.9,10186.51
N662JB,200,29.1,4324.94
N369NW,85,23.3,2302.95
N822DN,85,22.6,2263.7
N303DQ,5,0.26,468.0
N941DL,200,29.3,3990.07
N315NB,524,36.2,9368.77
N999DN,200,30.8,4296.91
N674DL,85,22.1,2301.33
N928DN,85,22.1,2409.46
N958DL,21,15.6,3427.2
N3732J,85,21.7,2252.9
N332NW,5,0.27,479.13
N820DN,200,30.0,4168.81
N922AT,85,22.2,2174.67
N339NW,524,37.9,9955.64
N366NW,200,28.5,4295.62
N711ZX,368,32.4,7127.76
N338NW,21,15.9,3302.09
N623DL,368,33.6,7022.84
N968DL,85,23.1,2189.4
N964DN,200,29.7,4074.01
N3753,524,36.2,10061.87
N660DL,524,37.3,9816.15
N377NW,85,22.4,2160.64
N517JB,368,32.7,6977.43
N759EV,200,29.4,4548.6
N17115,85,21.3,2326.15
N11565,524,36.1,9226.47
N11199,85,22.2,2294.38
N11119,200,30.5,4444.62
N589HA,85,22.8,2318.05
N819MQ,85,23.2,2205.52
N526MQ,200,30.6,3985.29
N658MQ,200,28.4,4083.88
N607MQ,368,31.8,7691.68
N13965,368,30.9,7409.06
N622NK,85,21.0,2256.13
N515NK,85,22.0,2328.01
N941SW,200,28.4,4467.95
N986CA,85,21.1,2287.39
N127SY,85,21.3,2137.23
N216AG,368,33.8,7150.39
N225AG,85,21.5,2276.74
N768SK,85,22.7,2276.22
N983CA,200,30.7,4074.39
N821AS,368,32.8,7148.76
N907SW,85,21.4,2345.83
N295SW,368,30.6,7242.74
N805UA,85,22.2,2188.64
N78501,85,22.7,2170.51
N37408,200,31.1,4533.2
N76502,5,0.24,507.62
N916SW,85,23.0,2314.73
N14180,524,39.2,9232.49
N916DE,85,22.0,2104.25
N105UW,85,21.0,2406.92
N173US,368,33.8,7503.67
N550UW,200,29.6,4007.69
N8618N,200,29.8,4410.2
N449WN,85,23.4,2259.0
N615SW,524,36.8,9237.63
N392SW,21,15.3,3379.4
N7752B,200,30.0,3962.93
N258WN,200,28.7,4304.82
N236WN,85,22.5,2374.51
N215WN,524,36.0,10427.22
N259WN,200,28.8,4368.03
N782SA,85,23.2,2186.82
N938WN,85,23.5,2312.44
N14704,524,38.6,10193.43
N33286,85,22.4,2123.7
N56859,85,22.6,2237.28
N37420,21,16.8,3585.37
N27205,85,21.3,2254.26
N28478,200,28.2,4066.22
N680AW,85,23.1,2188.96
N760US,85,22.8,2388.35
N5ESAA,524,39.0,9656.86
N3LRAA,368,33.0,6924.09
N4YAAA,368,31.5,7021.43
N3EPAA,85,21.9,2359.9
N5CEAA,21,15.3,3635.11
N590AS,85,21.1,2127.23
N140LL,5,0.27,500.56
N935DN,200,28.2,4423.3
N3FDAA,200,29.5,4508.16
N942DL,85,22.6,2281.29
N934FR,85,21.8,2256.31
N8EGMQ,85,21.1,2100.54
N821SK,200,29.4,3959.81
N616QX,200,31.5,4181.41
N606SK,85,22.3,2153.26
N984CA,85,21.1,2244.28
N905SW,524,35.6,10128.39
N764SK,368,33.5,7587.47
N105SY,85,21.2,2285.92
N24702,85,22.1,2288.33
N77518,200,30.7,4508.63
N34110,85,22.0,2272.58
N487HA,5,0.27,469.92
N437UA,85,21.4,2210.67
N3734B,85,22.4,2175.39
N960SW,200,29.8,3969.7
N569SW,200,29.9,3968.43
N428UA,21,15.9,3412.32
N444UA,85,22.5,2220.08
N419UA,524,37.9,10222.94
N818AW,85,21.2,2211.75
N816AW,200,30.5,4260.87
N830AW,85,21.7,2139.22
N418UA,524,38.1,9692.55
N637VA,85,22.8,2364.33
N409WN,85,21.6,2390.82
N7744A,85,23.5,2216.08
N433LV,85,21.7,2133.3
N269WN,85,23.1,2309.95
N441WN,200,29.2,4202.15
N359SW,85,21.9,2265.84
N405WN,85,21.5,2372.8
N358SW,85,21.4,2166.55
N38467,85,22.3,2348.89
N568UW,85,23.2,2356.68
N662AW,200,30.6,4406.83
N3AJAA,85,22.3,2154.87
N4WMAA,85,21.9,2218.33
N316JB,85,21.9,2211.72
N900DE,368,32.1,6994.6
N334NW,85,22.3,2388.0
N953AT,524,37.5,9462.66
N372DA,85,22.2,2389.94
N15912,85,22.6,2389.88
N709EV,85,22.5,2242.5
N134EV,85,23.1,2287.39
N600QX,368,32.2,7190.22
N713EV,85,22.8,2231.29
N11181,85,22.1,2129.74
N531MQ,21,15.5,3422.45
N671MQ,85,21.9,2164.45
N531NK,85,23.5,2308.81
N980SW,85,22.9,2396.53
N468UA,85,22.2,2157.64
N598UA,368,32.2,6921.47
N478UA,368,33.1,7730.09
N494UA,85,22.5,2135.87
N916DN,368,31.7,7465.84
N812UA,85,21.5,2364.42
N63820,200,30.6,4139.4
N37437,200,29.9,4072.77
N187JB,85,22.6,2101.47
N11193,524,38.6,9294.5
N479UA,85,23.0,2165.79
N497UA,524,37.9,9975.12
N744P,200,28.6,4283.84
N941UW,368,33.4,7575.4
N581UW,21,15.6,3345.07
N179UW,200,30.6,4039.61
N114UW,85,21.8,2293.09
N456WN,85,22.1,2286.29
N634SW,21,15.2,3639.25
N918WN,200,30.8,4305.58
N391SW,85,22.9,2358.39
N903WN,85,21.7,2360.13
N494WN,21,16.0,3287.82
N754SW,524,35.6,9780.67
N795SW,368,31.6,7548.12
N15712,85,22.9,2304.27
N13113,200,29.9,4500.48
N564UW,85,23.2,2391.03
N570AA,85,23.1,2364.62
N4WKAA,85,23.0,2212.71
N3BLAA,85,22.9,2348.17
N3GUAA,200,31.1,4324.06
N4XTAA,21,15.6,3472.14
N499AA,85,22.7,2145.68
N3JKAA,200,28.9,4464.22
N015AA,85,23.0,2245.17
N581AS,200,31.3,4196.09
N468AS,200,31.0,4077.1
N929JB,85,21.1,2295.13
N943JB,200,29.3,4357.35
N665JB,200,30.2,4150.66
N712TW,524,35.8,9861.24
N925DL,85,22.7,2284.93
N937DL,85,23.0,2405.38
N541US,85,21.0,2297.44
N750AT,85,21.9,2151.0
N5BRAA,524,36.7,10319.5
N522US,200,29.6,4172.72
N954DL,524,35.5,10163.42
N6709,85,22.1,2300.71
N751AT,524,37.9,9834.5
N703TW,85,21.3,2106.37
N975AT,85,22.6,2287.97
N676DL,21,15.7,3512.81
N16976,21,15.3,3570.86
N11551,21,15.5,3628.86
N952FR,21,15.1,3315.01
N670MQ,368,33.9,7343.26
N941MQ,200,30.9,4429.37
N857MQ,5,0.24,480.35
N815MQ,85,21.7,2331.44
N709BR,5,0.25,485.75
N162PQ,5,0.25,485.92
N109SY,85,22.4,2183.6
N39418,85,23.4,2264.38
N15910,85,21.1,2222.95
N975SW,85,22.5,2332.98
